id,real_top_noun,real_noun_count,fake_top_noun,fake_noun_count
0,project,3,information,3
1,elements,2,data,5
2,galaxy,3,dinosaurs,4
3,stars,4,language,5
4,galaxy,2,dinosaurs,2
5,units,3,dinosaur,6
6,galaxies,5,galaxies,3
7,data,5,data,3
8,stars,4,dinosaur,2
9,telescopes,3,scientists,3
10,stars,4,,0
11,gravity,3,dinosaurs,8
12,telescopes,3,dinosaur,13
13,gas,2,line,6
14,telescope,4,,0
15,research,2,dinosaur,6
16,science,2,dinosaur,2
17,data,6,alma,6
18,alma,7,alma,7
19,saboca,4,technology,6
20,galaxies,5,galaxies,5
21,dioramas,4,*,21
22,hole,6,santa,5
23,fields,4,dave,7
24,μm,4,*,19
25,observations,7,stars,5
26,telescope,5,space,8
27,vista,3,data,2
28,stars,4,vfts,4
29,telescope,4,vst,4
30,camera,3,*,4
31,stars,8,stars,4
32,oscillation,3,*,18
33,cluster,5,xxl,3
34,redshift,7,lyα,8
35,survey,5,stars,5
36,disc,4,ngc,4
37,volcano,5,llullaillaco,3
38,system,5,ao,6
39,quasars,5,quasars,5
40,r,8,*,56
41,evalso,2,vulcan,9
42,galaxies,6,galaxies,4
43,sources,6,sources,7
44,network,4,sun,3
45,galaxies,4,*,10
46,data,5,muse,5
47,stars,10,stars,5
48,surveys,6,eso,5
49,galaxies,4,galaxies,7
50,rm,4,eclipses,3
51,camera,3,telescope,4
52,magellanic,4,*,9
53,ghz,4,ghz,4
54,change,4,lf,6
55,galaxies,6,galaxies,8
56,supernovae,5,supernovae,5
57,shells,5,dust,14
58,moon,5,dave,3
59,hot,9,hot,6
60,nasmyth,4,nasmyth,3
61,dlas,13,agency,2
62,galaxies,6,type,3
63,abundances,7,ton,2
64,gradient,8,gradient,8
65,sphere,5,sphere,5
66,clusters,5,clusters,3
67,oh,8,discs,6
68,x,8,flare,5
69,antenna,5,building,4
70,survey,8,survey,8
71,resolution,4,resolution,3
72,stars,10,resolution,3
73,s,6,uves,3
74,segment,8,mirror,8
75,h,6,h,7
76,cluster,5,stars,5
77,school,4,alma,5
78,interferometry,4,interferometry,4
79,ray,8,gamma,4
80,e,9,e,3
81,gender,5,gender,5
82,galaxies,5,galaxies,5
83,stars,5,_,10
84,transmission,4,light,5
85,correlation,7,correlation,7
86,irs,7,irs,6
87,mad,6,adaptive,3
88,eso,10,=,4
89,astronomy,6,telescopes,4
90,galaxies,5,galaxies,6
91,apex,6,apex,7
92,fors2,4,fors2,3
93,pluto,5,pluto,5
94,response,6,response,6
